--------------------------------
Seed:  42
Device Assigned to:  cuda
Data Directory:  ./Data
Loading data....................
(232737, 3, 66, 200)

Loaded:
Training: 232737 Images, 232737 Targets
Validation: 10000 Images, 10000 Targets
Each image has shape:(3, 66, 200)

--------------------------------
Total No. of Trainable Parameters:  23510081

#### Started Training ####
/mnt/c/Users/iambi/Desktop/Regressor/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Ep. 63/1000:    Train: ABL 0.139, Acc. 91.36%   Val: ABL 0.319, Acc. 93.47%     Time: 438.1 s
Ep. 64/1000:    Train: ABL 0.168, Acc. 91.13%   Val: ABL 0.385, Acc. 91.72%     Time: 437.8 s
Ep. 65/1000:    Train: ABL 0.26, Acc. 90.18%    Val: ABL 0.313, Acc. 91.57%     Time: 437.7 s
Ep. 66/1000:    Train: ABL 0.223, Acc. 90.71%   Val: ABL 0.319, Acc. 91.39%     Time: 437.5 s
Ep. 67/1000:    Train: ABL 0.104, Acc. 91.69%   Val: ABL 0.26, Acc. 93.45%      Time: 438.0 s
Ep. 68/1000:    Train: ABL 0.095, Acc. 92.09%   Val: ABL 0.293, Acc. 92.66%     Time: 437.5 s
Ep. 69/1000:    Train: ABL 0.129, Acc. 91.6%    Val: ABL 0.262, Acc. 93.26%     Time: 437.9 s
Ep. 70/1000:    Train: ABL 0.268, Acc. 90.64%   Val: ABL 0.279, Acc. 91.49%     Time: 438.1 s
Ep. 71/1000:    Train: ABL 0.096, Acc. 92.01%   Val: ABL 0.242, Acc. 94.15%     Time: 438.0 s
#### New Model Saved #####
Ep. 72/1000:    Train: ABL 0.162, Acc. 91.39%   Val: ABL 0.301, Acc. 92.52%     Time: 438.2 s
Ep. 73/1000:    Train: ABL 0.082, Acc. 92.39%   Val: ABL 0.243, Acc. 94.31%     Time: 440.0 s
Ep. 74/1000:    Train: ABL 0.096, Acc. 92.33%   Val: ABL 0.251, Acc. 91.7%      Time: 446.3 s
Ep. 75/1000:    Train: ABL 0.205, Acc. 91.05%   Val: ABL 0.325, Acc. 93.21%     Time: 454.3 s
Ep. 76/1000:    Train: ABL 0.144, Acc. 91.66%   Val: ABL 0.258, Acc. 92.66%     Time: 452.2 s
Ep. 77/1000:    Train: ABL 0.077, Acc. 92.61%   Val: ABL 0.238, Acc. 91.97%     Time: 454.6 s
#### New Model Saved #####
Ep. 78/1000:    Train: ABL 0.202, Acc. 90.98%   Val: ABL 0.257, Acc. 93.89%     Time: 447.6 s
Ep. 79/1000:    Train: ABL 0.082, Acc. 92.54%   Val: ABL 0.234, Acc. 92.96%     Time: 454.0 s
#### New Model Saved #####
Ep. 80/1000:    Train: ABL 0.09, Acc. 92.6%     Val: ABL 0.27, Acc. 89.47%      Time: 452.4 s
Ep. 81/1000:    Train: ABL 0.182, Acc. 91.62%   Val: ABL 0.383, Acc. 90.96%     Time: 458.2 s
Ep. 82/1000:    Train: ABL 0.105, Acc. 92.09%   Val: ABL 0.215, Acc. 93.22%     Time: 460.2 s
#### New Model Saved #####
Ep. 83/1000:    Train: ABL 0.067, Acc. 93.03%   Val: ABL 0.212, Acc. 93.93%     Time: 453.4 s
#### New Model Saved #####
Ep. 84/1000:    Train: ABL 0.09, Acc. 92.69%    Val: ABL 0.268, Acc. 93.93%     Time: 448.0 s
Ep. 85/1000:    Train: ABL 0.183, Acc. 92.09%   Val: ABL 0.878, Acc. 91.52%     Time: 451.2 s
Ep. 86/1000:    Train: ABL 0.167, Acc. 91.37%   Val: ABL 0.297, Acc. 92.79%     Time: 439.2 s
Ep. 87/1000:    Train: ABL 0.066, Acc. 93.02%   Val: ABL 0.31, Acc. 92.86%      Time: 438.2 s
Ep. 88/1000:    Train: ABL 0.065, Acc. 93.25%   Val: ABL 0.244, Acc. 94.18%     Time: 438.6 s
Ep. 89/1000:    Train: ABL 0.088, Acc. 92.91%   Val: ABL 0.302, Acc. 93.29%     Time: 439.3 s
Ep. 90/1000:    Train: ABL 0.24, Acc. 91.19%    Val: ABL 0.308, Acc. 92.67%     Time: 439.0 s
Ep. 91/1000:    Train: ABL 0.079, Acc. 92.68%   Val: ABL 0.255, Acc. 94.28%     Time: 438.9 s
Ep. 92/1000:    Train: ABL 0.054, Acc. 93.5%    Val: ABL 0.255, Acc. 93.05%     Time: 442.2 s
Ep. 93/1000:    Train: ABL 0.064, Acc. 93.42%   Val: ABL 0.237, Acc. 93.64%     Time: 449.5 s
Ep. 94/1000:    Train: ABL 0.08, Acc. 93.09%    Val: ABL 0.246, Acc. 94.23%     Time: 449.9 s
Ep. 95/1000:    Train: ABL 0.089, Acc. 93.02%   Val: ABL 0.309, Acc. 94.54%     Time: 440.9 s
Ep. 96/1000:    Train: ABL 0.073, Acc. 93.26%   Val: ABL 0.282, Acc. 92.33%     Time: 441.2 s
Ep. 97/1000:    Train: ABL 0.061, Acc. 93.67%   Val: ABL 0.286, Acc. 95.52%     Time: 440.8 s
Ep. 98/1000:    Train: ABL 0.12, Acc. 92.29%    Val: ABL 0.242, Acc. 94.05%     Time: 441.0 s
Ep. 99/1000:    Train: ABL 0.053, Acc. 93.86%   Val: ABL 0.234, Acc. 94.76%     Time: 443.9 s
Ep. 100/1000:   Train: ABL 0.09, Acc. 93.27%    Val: ABL 0.307, Acc. 90.29%     Time: 455.1 s
Ep. 101/1000:   Train: ABL 0.115, Acc. 92.68%   Val: ABL 0.199, Acc. 94.03%     Time: 448.0 s
#### New Model Saved #####
Ep. 102/1000:   Train: ABL 0.045, Acc. 94.13%   Val: ABL 0.228, Acc. 93.98%     Time: 443.2 s
Ep. 103/1000:   Train: ABL 0.146, Acc. 92.78%   Val: ABL 0.211, Acc. 94.23%     Time: 442.8 s
Ep. 104/1000:   Train: ABL 0.049, Acc. 94.02%   Val: ABL 0.245, Acc. 94.02%     Time: 443.0 s
Ep. 105/1000:   Train: ABL 0.057, Acc. 93.93%   Val: ABL 0.267, Acc. 93.65%     Time: 443.1 s
Ep. 106/1000:   Train: ABL 0.057, Acc. 93.89%   Val: ABL 0.297, Acc. 93.16%     Time: 442.6 s
Ep. 107/1000:   Train: ABL 0.195, Acc. 91.62%   Val: ABL 0.28, Acc. 92.85%      Time: 443.2 s
Ep. 108/1000:   Train: ABL 0.057, Acc. 93.63%   Val: ABL 0.23, Acc. 93.54%      Time: 442.8 s
Ep. 109/1000:   Train: ABL 0.04, Acc. 94.36%    Val: ABL 0.222, Acc. 94.94%     Time: 441.6 s
Ep. 110/1000:   Train: ABL 0.056, Acc. 94.03%   Val: ABL 0.179, Acc. 95.29%     Time: 440.2 s
#### New Model Saved #####
Ep. 111/1000:   Train: ABL 0.106, Acc. 92.95%   Val: ABL 0.292, Acc. 92.11%     Time: 439.5 s
Ep. 112/1000:   Train: ABL 0.056, Acc. 94.09%   Val: ABL 0.393, Acc. 94.07%     Time: 439.7 s
Ep. 113/1000:   Train: ABL 0.055, Acc. 94.08%   Val: ABL 0.24, Acc. 94.26%      Time: 439.0 s
Ep. 114/1000:   Train: ABL 0.077, Acc. 93.74%   Val: ABL 0.311, Acc. 90.2%      Time: 439.3 s
Ep. 115/1000:   Train: ABL 0.125, Acc. 92.66%   Val: ABL 0.2, Acc. 93.16%       Time: 439.2 s
Ep. 116/1000:   Train: ABL 0.042, Acc. 94.36%   Val: ABL 0.195, Acc. 94.63%     Time: 439.5 s
Ep. 117/1000:   Train: ABL 0.043, Acc. 94.5%    Val: ABL 0.224, Acc. 95.56%     Time: 439.7 s
Ep. 118/1000:   Train: ABL 0.127, Acc. 92.7%    Val: ABL 0.166, Acc. 94.8%      Time: 440.4 s
#### New Model Saved #####
Ep. 119/1000:   Train: ABL 0.041, Acc. 94.41%   Val: ABL 0.152, Acc. 94.96%     Time: 438.6 s
#### New Model Saved #####
Ep. 120/1000:   Train: ABL 0.046, Acc. 94.57%   Val: ABL 0.187, Acc. 94.7%      Time: 437.8 s
Ep. 121/1000:   Train: ABL 0.048, Acc. 94.47%   Val: ABL 0.2, Acc. 95.63%       Time: 438.5 s
